plate,review_reason_code,customer_meaning,reviewer_comments,status
BOLLA1,2,LAST NAME PLUS THE NUMBER 1,sounds like 'baller' but it is his last name,N
BUYFART,3,MY BUSINESS NAME,fart,N
DEADMNS,2,I AM A TATTOO SHOP OWNER. THE NAME OF MY TATTOO SHOP IS DEADMANS STUDIO TATTOO.,"PULLED FOR DEAD BUT HIS MEANING IS TRUE, THIS IS THE NAME OF HIS BUSINESS",N
D GOOZE,3,THIS IS A NICKNAME,gooz=Persian word for 'fart' Customer name is Davi Guzman,N
GMEN49R,5,THE G STANDS FOR GONZALEZ AND THE 49R IS FOR THE SAN FRANCISCO FOOTBALL TEAM,"GMAN=A GOVERNMENT AGENT, CIA OR FBI",N
LO NUTS,1,LIVE OAKE NUTS. NUT IS HIGH-SCHOOL MASCOT IN MORGAN HILL CA.,"balls.. GOOGLED Live Oaks High School in Morgan Hill, it says 'home of the Acorns'",N
MONGOLS,2,MONGOLIAN TRIBE,MONGOLS MC CLUB IS AN 'OUTLAW' MC CLUB AND ALLEGEDLY INVILVED IN ORGANIZED CRIME,N
MP8O5LS,2,MY POWERED LS CAMARO 805,"805 IS SANTA BARBARA AREA CODE, THE CUSTOMERS AREA CODE",N
OB213,2,OBRYAN FIRST NAME 213 LOS ANGELES AREA CODE,213 los angeles area code,N
SMCFACE,2,IT IS MY INITIALS WITH MY NICKNAME THAT MY FAMILY GAVE ME GROWING UP.,SMACK FACE? INITIALS ARE SMR,N
SYXTNYN,1,YEAR OF CAR,"69, no 1969 car on ani",N
VAN DAYM,3,ODE TO JEAN CLAUDE,damn,N
V2STREO,7,SPANISH ROCK BAND,"I cant translate, doesn’t seem to be the name of a band as spelled..?",Y
213STYL,2,"213= LOS ANGELES AREA CODE, STYL=STYLE",213 los angeles area code,N
3O1X31O,2,"MD TO LA,CA","301=MARYLAND AREA CODE, 310=LA AREA CODE",N
6LOPEY9,1,69 LOPEY,"69, no 1969 car on ani",N
69  VA,1,1969 NOVA,"69, no 1969 car on ani",N
69VADER,1,69 CHEVELLE PAINTED BLACK LIKE DARTH VADER,"69, no 1969 car on ani",N
I$TCHNG,1,I LOVE TEACHING,teaching or touching,Y
RNGER,2,RANGER,OUR NGER,Y
LVDPAIN,1,LOVE THE PAIN,"LOVE THE PAIN, MASOCHISTIC?",N
RNBW WAR,2,IT MEANS RAINBOW WARRIOR,pulled for war,N
WAR HERO,2,WAR HERO,I usually pull war for review… not a veteran plate,Y
XCUSE U,2,"FUNNY WAY TO SAY ""EXCUSE YOU"" BECAUSE OF THE MINI MOTORCYCLE I HAVE",CONFRONTATIONAL? PULLED BECAUSE OF 'YOU',N
KRZYCRW,2,CRAZY CREW,CRAZY,Y
EFNHEMI,3,ITS MY MAIDEN FAMILY NAME,EFFIN HEMI,N
EL AZUL,3,DODGERS FAN.,THE BLUE,Y
69 PACE,1,1969 PACE CAR,NO 69 VEHICLE VERIFIED,N
MFQ8999,3,MF ARE MY MOM'S INITIALS AND Q IS MY DADS INITIAL. 8 AND 9 MEAN GOOD LUCK IN MY HOME COUNTRY,MF.. FQ,N
EROS51O,2,THEY ARE THE INITIALS OF MY CHILDREN. THE NUMBER IS BECAUSE OF ITS MODEL.,CA AREA CODE,N
OMW ZFWB,1,DATSUN JOKE,FRIENDS WITH BENEFITS,N
SEXTEE9,1,YEAR OF THE CAR,NO 1969 VEHICLE VERIFIED,N
C U DAB,7,"THE ""DAB"" DANCE MOVE.",DAB FORM OF MARIJUANA. IT IS ALSO A DANCE MOVE,N
LARA818,2,LAST NAME,818 NORTHRIDGE AREA CODE,N
WAHEOHS,1,NAME OF MY BOAT,"TRYING TO SAY ""HUEVOS"" WHICH IS BALLS IN SPANISH",Y
WCKD M3,7,WICKED COOL BMW M3,"NO BMW. ""WCKDME"" IS CURRENT?",N
ZTUNA13,2,LAST NAME INTIAL. TUNA FISHERMAN. FAVORITE NUMBER,TUNA OR 13?,N
415MERC,7,SF=SAN FRANCISCO 04MM=2004 MERCURY MARAUDER,415 SAN FRAN ARA CODE,N
710 TECH,7,I WORKED ON A CAD PROJECT DEALING WITH THE 710 FREEWAY AND I SUPPORT THE 710 TUNNEL!,710 FEDERAL GOVERNEMNT AREA CODE?,Y
CHNGGON,3,IT'S IS MY NICKNAME. IT MEANS IM AWESOME,CHINGON IS MARKED UNACCEPTABLE,N
JBRG415,2,MY HUSBAND AND SON'S INITIALS AND THE AREA CODE OF WHERE WE WERE ALL BORN (SAN FRANCISCO),CA AREA CODE,N
ARCH 31O,2,I LOVE ARCHITECTURE,310 IS AREA CODE FOR LOS ANGELES,N
BALN JK,2,not on quickweb yet,"BALLING, just kidding (customer last name is Ball)",N
FN KWIKR,3,THIS CAR IS FUN AND QUICKER THAN YOURS,EFFIN QUICKER,N
MADMAN2,2,"LAST NAME IS MADANI, NICKNAME IS MADMAN","from dictionary.com, madman=a person who is or behaves as if insane; lunatic; maniac. BUT someone ordered MADMAN1 in order #033 and it wasn’t sent for review",Y
NICK 8O5,2,MY NAME AND AREA CODE,805 area code Lompoc,N
P PLOPES,3,NO QUICKWEB AVAILABLE YET,PEEPEE LOPEZ LAST NAME IS LOPEZ BUT NOT CUSTOMERS  INITIALS,N
TEARUP,2,not on quickweb yet,tear up like cry or tear up like destroy…?,N
WATCHN U,2,not on quickweb yet,"watching YOU, STALKER",N
7OOHP 69,1,1969 CAMARO WITH 700 HORSEPOWER ENGINE,NO 1969 ON ANI,N
MYNWA,3,NO QUICKWEB AVAILABLE YET,"MY NWA, N WORD",N
GYNT$FN,3,GIANT FAN,love effin,N
FIGHTS,2,BUSINESS,fight,N
CFEDS,5,CERTIFIED FEDERAL SURVEYOR,FEDS,N
EAST323,2,THE AREA I LIVE IN,CA AREA CODE,N
JBAC831,2,FIRST INITIAL OF EACH FAMILY MEMBER (4 PEOPLE) AND DATE OF BIRTH,CA AREA CODE,N
JOYA31O,2,THE RESTAURANT MY WIFE AND I MET AT,CA AREA CODE,N
VILLA69,3,LAST NAME AND DATE,NO 1969 VEHICLE VERIFIED,N
2O9 HEMI,2,AREA CODE AND ENGINE NAME,CA AREA CODE,N
69LUCAS,1,THE YEAR I WAS BORN AND NAME MY PET,NO 1969 VEHICLE VERIFIED,N
HOGHNTN,2,HOG HUNTING. MY HUSBAND HUNTS HOGS.,HOG HUNTING,N
CALI 415,2,ITS JUST A REPRESENTATION OF CALIFORNIA AND WHERE I'M FROM,CA AREA CODE,N
DPED925,2,DOPE 925,CA AREA CODE,N
FRKNC1O,3,FRANKENSTIEN C10 RATROD TRUCK,FREAKIN C10,N
HARD AHN,1,WORK OUT AND AHN IS MY LAST NAME,HARD ON,N
OPDBLUE,2,HONORING OPD,PD… BLUE.,N
69 YODA,1,1969 TOYOTA,COULDN'T VERIFY '69 VEHICLE,N
BIOTCHH,3,BIOTECHNICIAN-A BIOMEDICAL ENGINEERING/EQUIPMENT TECHNICIAN/TECHNOLOGIST OR BIOMEDICAL ENGINEERING/EQUIPMENT,BIOTCHH,N
8O5BOYS,2,HOMETOWN AREA CODE AND COWBOYS FAN,CA AREA CODE,N
831 SURF,2,AREA SURF,CA AREA CODE,N
CHAVO69,1,MY MY NICKNAME AND MY GR GRANDFATHER'S YEAR WHEN HE WAS BORN,NO 69 CAR,N
DAMN DAN,3,"DAMOUS FRACE FROM INTERNET VIDEOS, AND Y NAME IS DANIEL.",DAMN?,N
DM NUDEZ,3,DANIEL MARVIN NUDEZ,DAMN?,N
E M 323,7,EDGAR/MIRNA 323,323 LOS ANGELES AREA CODE,N
69 SPRSP,1,1969 SUPER SPORT,NO 69 CAR,N
AMOOOO1,2,AMERICA NUMBER 1,LOOKS LIKE AMO,N
BLUSL5O,2,BLUE SOUL FIVE OH,BLUE,Y
CARR 911,2,NAME,911 EMERGENCY,N
DAAMMMN,3,NAME,DAMN,N
GUT TUNA,1,GUT TUNA,TO GUT A FISH.,N
HVALICK,1,HAVE A LICK,HAVE A LICK,N
IV IN YOU,2,"I AM AN RN, THOUGHT THIS WAS CLEVER","IV AS INTROVEINIOUS, IN YOU",N
LBLUE69,2,THE BLUE 69,BLUE,N
LIL KITY,1,FOR MY CAT,LITTLE KITTY,N
MO8O683,6,MARRIED ON 08/06/1983,LOOKS LIKE AN OLD TIN NUMBER,N
MRMO213,2,NAME,213 AREA CODE,N
TYBR 805,2,TO YOUR BRO 805,805 AREA CODE,N
WOOOOSE,2,CHILDHOOD NICKNAME,WOOSE,N
72 BLU,2,YEAR AND COLOR OF TRUCK,BLUE,Y
818 E46,2,818 IS MY HOMETOWN AREA CODE AND E46 IS THE MODEL DESIGNATION OF MY VEHICLE.,818 AREA CODE,N
$EATLY,1,I LOVE ITALY,EATLY???,Y
HNT2EET,2,LOVE TO HUNT TO EAT,HUNT TO EAT,Y
SVR ARRW,2,SILVER ARROW,SILVER ARROW,Y
LMUN213,2,NAME,213 AREA CODE,N
NSTIBOY,1,A TOUGH BOXER IN THE RING WHO IS NOT EASY.,NASTY BOY,N
TRUBLU8,2,DODGER FAN FOREVER,BLUE,Y
POPS714,2,MY GRANDFATHER LAST NAME,CUSTOMERS AREA CODE,N
ZUKI8O5,2,SUZUKI,CUSTOMERS AREA CODE,N
A231230,7,DATE N BIRTHDAY,OLD PLACARD NUMBER,N
CALI 818,7,STATE AREA BORN AND RAISED,818 MOJAVE DESERT AREA CODE,N
ISIT42O,7,FAMILY MEMBER THAT PASSED ON BIRTHDAY,4/20 NATIONAL POT DAY,N
LAKR213,7,LOS ANGELES LAKERS OF 213 AREA CODE,213 LA AREA CODE,N
NOAHS69,1,NOAH IS THE NAME OF MY ONLY SON AND THE 69 STANDS FOR THE YEAR VEHICLE THIS LICEANSE PLATE IS GOING ON.,NO 69 CAR ON RECORD,N
SNDNUDZ,1,SEND PICTURES :),SEND NUDES?,N
JEEP 773,2,I WON A JEEP AND AM FROM CHICAGO (773 AREA CODE),773 AZUSA AREA CODE,Y
AUDIOSG,2,BYE IN SPANISH,ADIOS G,N
BUGA619,2,NICKNAME,CA AREA CODE,N
DNGR619,2,DANGER619,CA AREA CODE,N
HITTAHZ,2,DALLAS COWBOYS FAN CLUB IN CA CALLED COWBOYS HARD HITTAHZ,"HITTERS, HI TEETAHS.",N
JAF AMF,3,OWNERS INITIALS,AMF. CUSTOMERS INITIALS ARE JAF,N
KNKU OUT,2,I AM A DOCTOR AND I PUT PEOPLE TO SLEEP,KNOCK YOU OUT,N
KOOTERS,2,BUSINESS NAME (KOOTERS GARAGE),KOOTERS… KOOTERS GARAGE COMES UP AS AN AUTO SHOP IN MURRIETA (THE CUSTOMERS CITY),N
MAYHM69,1,MY NICKNAME,COULDN’T VERIFY 1969,N
MUSKNKL,1,THE NAME OF THE MEN'S HOCKEY TEAM I PLAY ON IS THE MOOSE KNUCKLES,MOOSE KNUCKLE,N
REVS818,2,MY SHORT NAME AND FAVORITE NUMBER,CA AREA CODE,N
SCOUT 69,1,1969 SCOUT,COULDN’T VERIFY 1969,N
SFPD624,5,SAN FRANCISCO POLICE DEPT BADGE #624,SFPD,N
SOHAI,2,IT WAS MY NICKNAME WHEN I WAS SMALL,SO HIGH,N
WETT 69,1,PAINT LOOKS WET 1969 CAMARO,COULDN’T VERIFY 1969,N
69 PRIMO,1,ONLY ONE 1969 CAMARO,COULDN’T VERIFY 1969,N
DWAAAMN,2,A TECH N9NE SONG,DAMN,N
BEATNYA,2,BEATING YOU,BEATING YOU,N
CWLK 86,2,MY FIRST LETTER OF MY NAME AND MY LAST NAME ABBREVIATED 86 IS MY HIGH SCHOOL SPORTS NUMBER,"C WALK MEANS CRIP WALK, ALTHOUGH CUSTOMER INITIALS AND LAST NAME ARE C. WALKER",N
D5 HNTR,2,D5 HUNTER,HUNTER,N
OMYDAMN,3,"MY WIFE SAYS ""OH MY DAMN"" WHEN SHE IS SURPRISED. EVERYONE THAT KNOWS HER KNOWS AND IT'S REALLY CUTE.",DAMN,N
PROF35H,2,LUCKY NUMBERS AND LETTERS,LOOKS LIKE PROFESS.. SHORT FOR PROFESSIONAL??,Y
RDRS51O,2,OAKLAND RAIDERS IN AREA CODE 510,51O AREA CODE,N
SFCA415,2,SF FOR SAN FRANCISCO CA FOR CALIFORNIA 415 FOR THE AREA CODE,415 AREA CODE,N
TRISON,2,KIDS COMBO NAMES,TREASON: THE CRIME OF BETRAYING ONES COUNTRY,Y
V8 EATR,1,MY M MY VEHICLE HAS FOUR MY MY VEHICLE HAS 4 CYLINDERS AND HAS MORE HORSEPOWER THAN THE 8 CYLINDER VEHICLE,EATER,N
321 BLUE,2,MARCH 21ST IS MY WEDDING ANNIVERSARY AND MY LAST NAME IS BLUE.,BLUE,Y
6X6X6,2,SOCCER JERSEY NUMBER,666 MARK OF THE BEAST,Y
7O7 LOL,2,MY CHARGER HAS 707 HP LOL IS LAUGH OUT LOUD 707 HP ON A 4 DOOR SEDAN IS PRETTY INSANE,707 AREA CODE,Y
911 COOL,5,PORSCHE 911 VERY COOL,911 EMERGENCY,Y
CHUY 805,2,MY NICK NAME,805 AREA CODE,N
HUMN REV,1,HUMAN REVOLUTION - INTERNAL DEVELOPMENT,HUM AND REV,N
OUR BB 8,2,SINCE MY JEEP IS REYBCON . . OUR TRAILER SHOULD BE BB8 . . .MY NAME IS REY.,OUR BABY ATE?,Y
BLUESTN,2,MY BUSINESS' NAME,BLUE,Y
BORT 77,2,SIMSONS REFERENCE / LUCKY NUMBER,LOOKS LIKE SHORT FOR ABORT,Y
CRP INS,2,CALIFORNIA REVOLVER AND PISTOL INSTRUCTION,CRIP,N
EKAM2O9,2,SONS NAME AND AREA CODE,209 AREA CODE,N
HRTNHSL,2,ITS MY COMPANIES NAME.,HEART AND HUSTLE,Y
J 415,2,INDEPENDENCE,415 AREA CODE,N
MACSMLF,1,MIKES WIFE,MILF,N
REDCROC,2,COLORED REPTILE,RED CROC,Y
REDD GJ,2,REGGIE JACKSON,REDD,Y
SMDH,3,ACRONYM,SHAKING MY DAMN HEAD,N
WDO MAKR,2,WILL DO MAKER. ITS SUPPOSED TO BE A MOTIVATIONAL PHRASE THAT ENCOURAGES PEOPLE TODO WHATEVER IT TAKES TO MAKE THEIR DREAMS COME TRUE.,WIDOW MAKER,N
YOGA911,2,"I'M A YOGA TEACHER, THIS IS ADVERTISING FOR PEOPLE WITH A YOGA EMERGENCY. DO YOU HAVE ONE? CALL ME.",911 EMERGENCY AND OR VEHICLE(NOTHING IN ANI),Y
4 VIRAGO,2,STRONG WOMAN,VIRAGO IS A MEAN WOMAN,Y
B L U&8,2,MY DAUGHTER ABBREVIATION NAME (BEA LEE USI) BIRTHDATE FEBRUARY 8,BLUE,Y
PIGHEAD,2,MY PERSONALITY,PIG HEAD,N
CAL1 619,7,BIRTHPLACE BORN AND RAISED,619 SPRING VALLEY AREA CODE,N
MOBSTAS,7,BIG MAFIA AND MOCSTER ARTIFACT COLLECTOR,NOB-MEMBERS OF BLOOD,N
WT 69 SS,1,WHITE 1969 SS CAMARO,NO 69 CAR ON RECORD,N
8O5BAGS,7,805 CORNHOLE,805 PORT HUENEME AREA CODE,N
BB 619,2,INITIALS AND AREA CODE,CA AREA CODE,N
GNTS 415,2,GNTS IS FOR THE SAN FRANCISCO GIANTS AND THE 415 IS THE AREA CODE IN SAN FRANCISCO,CA AREA CODE,N
MSOCHST,1,MS OCTAVIA CHERISH STANLEY. AN ODE TO MY BEST FRIEND WHO JUST PASSED AWAY.,MASOCHIST,N
69 KOBRE,1,IT STANDS FOR THE CARS MODEL NAME WHICH IS COBRA,COULDN’T VERIFY 69 VEHICLE,N
AWLL 9O9,2,"ALBERT W LEWIS LEBA IS MY NAME, THESE ARE MY INITIALS, BIRTHDAY 9/9",AREA CODE,N
A5S2OOO,6,I DRIVE A S2000 AND LOOKING TO BUY A AUDI A5. LIKE TO HAVE PLATE TO SHOW BOTH,LOOKS LIKE AN OLD TIN,N
DO U 12,1,JUST HAVING FUN WITH THE MEANING TO SEE WHO LIKES A CAR LIKE MINE.,DO YOU WANT TO?,N
DPH 95,2,no micro,DEL PASO HEIGHTS,N
HOODATS,1,NEW ORLEANS SAINTS FOOTBALL NICK NAME,LOOKS LIKE HOOD RATS,Y
LTTMMUP,2,no micro,LITE THEM UP,N
MBJN9O9,2,no micro,9O9 AREA CODE,N
MI6 SPY,2,JAMES BOND,LOOKS LIKE M16,N
MLHH818,2,MOTHERS MEMORIAL,818 AREA CODE,N
MYROO8U,2,MY SUBARU IS HUNGRY,MY ROO ARE YOU,N
NSTYDUB,2,NASTY VDUB - CAR TYPE,NASTY DUB,N
N9R1C6L,2,CHILDREN'S INITIALS,916 AREA CODE,N
PAP SMRG,1,no micro,PAPA SMURF LOOKS LIKE PAP SMEAR,Y
PSN GAS,2,PASSING GAS STATIONS.,PISSING GAS,N
PSYCHOF,2,no micro,PSYCHO,N
TA CBRN,3,"ITS ROUGH..(LIFE,DAY,WEEK,MONTH)",CABRON,N
WARWGN6,2,WAR WAGGON #6,WAR WAGON,N
2 VILEO,2,no micro,ALCOHOLIC IN SWAHILI,Y
213LAO3,2,no micro,213 AREA CODE,N
415M3,2,CALL CODE FOR WORK,415 AREA CODE,N
BIG PLMR,1,MATCHES DAUGHTER WHO HAS LTLPLMR,BIG PLUMBER,Y
IM TOPLS,1,THE CAR IS A CONVERTIBLE,IM TOPLESS,Y
BLUR8VN,2,no micro,BLUE,Y
HULAGEN,2,HOOLIGAN. THE TOTAL OPPOSITE OF WHAT I WAS AS A CHILD AND ADULT. AND NOW DRIVING A STATION WAGON,HULLIGAN THUG,N
MINI51O,2,MY 2014 MINI COOPER CLUBMAN REMINDS ME OF THE DATSUN 510 WAGONS THAT CAME OUT IN 1970.,510 AREA CODE,N
PNTY TKR,1,PLENTY TANKER,PANTY TAKER,N
RBLU RT,2,OUR BLUE CHALLENGER R/T,BLUE,Y
SIC FISH,1,SICK FISH,FISH,N
SNDGO17,2,CHARGERS FAN,DGO DAYGO,Y
4S 911,5,FOR A PORSCHE 911 CARERRA 4S,911 EMERGENCY,Y
911RX,2,PORSCHE 911 PRESCRIPTION,911 EMERGENCY,Y
AGUAYOG,2,LAST NAME,"G OR OG. AGUAYO IS LAST NAME, FIRST NAME IS JAIME",Y
BIGX69,1,I HAVE A CLASSIC VEHICLE AND WANT TO PUT IT ON THE VEHICLE.,"69, NO 69 ON ANI",N
CIA GOV,5,TV SHOW COMEDY,could be mistaken as law enforcement or a federal government plate,N
DEDEPV,2,NO MEANING ON QUICKWEB YET,DEAD?,Y
DOGBARF,3,"WE HAVE A SERVICE ANIMAL, AND WORK WITH FOSTER ANIMALS AND TRYING TO FIND HOMES FOR RESCUED ANIMALS","BARF, REPULSIVE.",N
DRKNYOU,2,BECAUSE I LIKE ALL DARK OLORS,DARKEN YOU? PULLED FOR THE 'YOU',N
GFAM OF8,2,FAMILY,PULLED FOR 'G' GARCIA FAMILY,N
GODDAM1,3,BABY GIRL / SWEETNESS,GOD DAMN,N
LOT8GAS,3,NO MEANING ON QUICKWEB YET,lot ate gas? Lotta gas?,Y
MRD 2BTM,1,NO MEANING ON QUICKWEB YET,to bottom?,N
MYGOD67,4,HONORING GOD,no 1967 car. customer was born in 1967.. Ok?,Y
SCAL8O5,2,SOCAL AREA CODE,805=SANTA BARBARA AREA CODE,N
U STYBAK,2,YOU STAY BACK OFF OF MY BUMPER,PULLED BECAUSE OF 'YOU',N
49 LOCO,2,NO MEANING ON QUICKWEB YET,LOCO=CRAZY,Y
MAIN 8O5,2,NO MEANING ON QUICKWEB YET,805 SANTA BARBARA AREA CODE,N
GREENGA,2,NAME OF THE CAR,"GREEN NGA, N WORD",N
JJ XR8D,1,JJ = MY INITIALS,X RATED,N
MYAS JP,2,MY NAME IS MYA AND I BOUGHT A JEEP,"jap or jeep, no jeep on ani",N
RX4PLAY,1,I AM A PHARMACIST AND MY CAR IS FOR FUN WITH THE FAMILY,FOREPLAY,N
2BL2BST,1,2 BLESSED TO BE STRESSED,TWO BALLS TO BUST,Y
HELOCATO,2,HELL CAT,NO DODGE,Y
8O5RW96,2,NAME AND BIRTHYEAR,CA AREA CODE,N
RNGL 415,2,LAST NAME AND THE AREA CODE FROM SAN FRANCISCO,CA AREA CODE,N
323 R8DR,2,I AM A RAIDERS FANATIC AND 323 IS THE AREA CODE FOR LA. R8DR IS ABBREVIATED FOR RAIDER,CA AREA CODE,N
CUBY415,2,SEE YOU BY APRIL 15TH,CA AREA CODE,N
XX619XX,2,SAN DIEGO AREA CODE,CA AREA CODE,N
HAWT DMN,3,HOW TO DEMAND,HOT DAMN,N
WPISSAH,2,REALLY AWESOME,PISS/PISSAH,N
ARYNGPA,2,ARYN'S GRANDPA,ARRIAN GRANDPA,N
BALZ MAN,1,MY FIRST INITIAL AND LAST NAME,BALLS MAN,N
BASS 707,2,BASS 707 HORSE POWER,7O7 AREA CODE,N
CSI NAPA,5,LOCAL INTEREST,CSI CRIME SCENE INVESTIGATION,N
E3O1988,6,BMW E30 MODEL YEAR 1988,LOOKS LIKE AN OLD TIN NUMBER,N
415 JEEP,2,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE,415 AREA CODE,N
CGARJOE,2,I LOVE CIGARS,CIGAR JOE,Y
M818L,2,M IS MY FRIST NAME MING.L IS MY WIFE FRIST NAME LIN. 818 IS OUR MEETING DATE AUG 18TH THANK YOU!,818 AERA CODE,N
OG BRNCO,2,1971 ORIGINAL BRONCO,OG ORIGINAL GANSTER,N
O11235B,6,GOLDEN RATIO,LOOKS LIKE AN OLD TIN NUMBER,N
PLAYLPS,1,IT MEANS TO ENCOURAGE PEOPLE TO PLAY RECORDS INSTEAD O,PLAY LIPS,N
P4I7413,2,FAMILY,LOOKS LIKE AN OLD TIN NUMBER,N
SXY SLYR,1,SEXY SLAYER,SLAYER,N
S1O4711,6,LAST NAME INITIAL AND BIRTHDAYS,LOOKS LIKE AN OLD TIN NUMBER,N
TBSS 9O9,2,TRUCK MODEL AND AREA CODE,909 AREA CODE,N
TRPL666,2,MY NAME DAMIAN,666 MARK OF THE BEAST,Y
W6A1V9Y,2,619 AREA CODE. WAVY=SURFING,619 AREA CODE,N
1SMKNSS,2,ONE SMOKING SS,1 SMOKING SS,Y
51ON,2,510 IS A SHERIFF'S CODE FOR A SPEEDING VEH,510 AREA CODE,N
6FIDDY,2,650 THE TYPE OF CAR,650 AREA CODE,Y
8URPRUS,2,I HAVE A LARGE TRUCK AND I AM MAKING A JOKE ABOUT A SMALL CAR,ATE YOUR PRIUS,N
PNK4ME,1,BREAST CANCER/PINK RIBBON,PINK 4 ME,N
PPM$RE,2,THIS IS THE NAME OF MY REAL ESTATE COMPANY PREFERRED PROPERTY MANAGEMENT AND REAL ESTATE. AND I LOVE SELLING REAL ESTATE!,LOOKS LIKE PEE PEE MORE,N
AB 43,2,ANTHONY BARTONE BADGE # 43,MILITARY TANK,Y
BDNBLUE,2,BAD AND BLUE,BLUE,N
GOOD BRD,2,GOOD BIRD,LOOKS LIKE GOOD BROAD,Y
HOOGTYD,2,ABOUT TIME,HOG TIED,N
HPPY 911,2,JUST A HAPPY OWNWER OF A PORSCHE 911,911 EMERGENCY,Y
HUNTN WJ,2,HUNTN MEANS HUNTING AND WJ IS MODEL OF THE JEEP,HUNTING,N
REDD424,2,MY WIFE IS A REDHEAD AND HER LUCKY NUMBERS ARE 424,424 AREA CODE RED,N
TEAM 559,2,TEAM FRESNO (AREA CODE 559),559 AREA CODE,N
UBERCHP,5,UBER CHAP,CHP CALIFORNIA HIGHWAY PATROL,N
99 PINKY,1,NICKNAME,PINKY,N
DETON8R,2,COLOR IN DETONATOR YELLOW,DETONATOR,N
GFAM619,2,FIRST NAME INITIAL. LAST NAME ABBREVIATION. AREA CODE,CA AREA CODE,N
NANA31O,2,CHILDHOOD NICKNAME AND AREA CODE,CA AREA CODE,N
O51O AE,2,5/10 IS OUR WEDDING ANNIVERSARY AND AE IS OUR INITIALS,CA AREA CODE,N
YCCC714,2,LOVE AND FAVORITE NUMBER,CA AREA CODE,N
415N8IV,2,SAN FRANCISCO NATIVE,CA AREA CODE,N
AGWO831,2,MY SONS BIRTHDAY AND HIS INITIALS,CA AREA CODE,N
DUBZ51O,2,MY NICKNAME AND WHERE I'M FROM,CA AREA CODE,N
EDLM916,2,MY DAUGHTERS INITIALS AND AREA CODE SHE WAS BORN IN,CA AREA CODE,N
EFIG65O,2,HIGH SCHOOL NICKNAME AND MY USERNAME FOR ALMOST EVERYTHING I USE,CA AREA CODE,N
GRESS69,2,LAST NAME IS GRESS AND 69 IS THE YEAR I WAS MARRIED,CUSTOMERS LAST NAME 69,N
1NSTY V,1,A CAR THAT LOOKS REALLY GOOD NOT MEANING ANY OFFENSIVE WORDS,ONE NASTY V,N
562RDRS,2,SPORTS TEAM,CA AREA CODE,N
GOVNR47,5,FORMERLY OWNED BY 1947 CALIF GOVERNOR,"HE HAS A 1947 CADILLAC, OK? JUST THINKING SOMEONE MAY THINK IT’S THE GOVERNOR'S CAR..?",Y
ICU MAD,2,SHOW CAR,I see you mad. Pulled because of the 'you',N
NEECH,2,not on quickweb yet,means 'despicable' in Hindi,N
PICO 8O5,2,not on quickweb yet,AREA CODE FOR SANTA BARBARA,N
POOP KNG,3,POOP BAGS MANUFACTURER,EXCREMENT,N
PRME BLD,2,NO MEANING ON QUICKWEB YET,BLOOD OR BUILD?,N
SCHMNGY,2,NO MEANING. JUST A MADE-UP WORD I LIKE TO USE IN FUN. THERE IS NOTHING ULTERIOR IN IT'S MEANING.,"SOUNDS BAD… I CANT FIND A DEFINITION, OK?",Y
U TRIED,2,YOU TRY,YOU TRIED; PULLED BECAUSE OF THE 'YOU',N
UTRYNME,2,YOU ARE TRYING ME.,"DIFFERENT CUSTOMER, BUT PULLED BECAUSE OF THE 'YOU'",N
YU LEWZ,2,YOU LOSE,YOU' LOSE,N
1BOLD69,1,I HAVE A 1969 CHEVELLE SS396. THE ENGINE IS MODIFIED FOR MORE POWER. OF COURSE I ALSO GRADUATED HIGH SCHOOL IN 1969. FINALLY GOT THE CAR I WANTED THEN.,no 1969 car on ani,N
69 FCON1,1,1969 FORD FALCON,no 1969 car on ani,Y
RYDOVRU,2,NO MEANING ON QUICKWEB YET,RIDE OVER YOU,N
6UWISH9,1,NO MEANING ON QUICKWEB YET,"69, YOU WISH… no 1969 vehicle on ani",N
FLX BLS,3,CAR MODEL & FAMILY INITIALS,"FLEX BALLS? HE DOES HAVE A NEW FORD (FLEX) AND HE HAS ""PTBLS"" FOR A CHRY (PT CRUISER, MAYBE) AND ""XBLSS"" FOR A FORD. HE IS BOB, WIFE IS LUCY.",Y
IMPELLO,1,LATIN WORD MEANING: TO PUSH FORWARD,"google translate says, ""thrust, strike, beat off""",N
415CALI,2,WE ARE FROM CALIFORNIA 415,"415, SAN FRANCISCO AREA CODE",N
B TRICK,3,VARIATION OF LAST NAME (BITRICH),CUSTOMER LAS NAME BITRICH BUT PLATE LOOKS LIKE B TRICK,N
SCLPIN,2,NAME OF NAVY SHIP & NAME OF A SPECIES OF LOCAL SALTWATER FISH,SCALPIN,N
TRIK PLZ,1,"MEANING STRAIGHT FORWARD, NO TRICKS...PLEASE",TRICK PLEASE,N
TU JEFA,2,YOUR MOM,JEFE,N
59 BSTRD,3,VEHICLE HAS PARTS FROM VARIOUS YEARS AND MAKES,BASTARD,N
$MYBBTY,1,I LOVE MY BABY TOY,LOOKS LIKE LOVE MY BOOTY,N
9O9ONE,2,BEATLES SONG TITLE,909 AREA CODE,N
BULY BUS,2,"I HAVE AN ENGLISH BULL TERRIER AND DO RESCUE WORK WITH BULL TERRIERS BY TRANSPORTING THEM.' BULLY IS A NICKNAME FOR THE ENGLISH BULL TERRIER.  ""BULLY BUS""",BULLY,N
